src_id,dst_id,corp_id,src_work_for_start_time,dst_work_for_start_time
p_29604,p_92265,co_5392,2022-06-22,2021-08-07
p_29604,p_99520,co_614,2020-10-02,2021-04-04
p_29605,p_32245,co_3,2020-03-09,2019-11-28
p_29605,p_64061,co_3442,2019-11-05,2022-06-16
p_29606,p_47248,co_1,2021-03-23,2021-02-03
p_29606,p_53093,co_1,2020-02-16,2020-01-19
p_29607,p_53902,co_170,2019-10-04,2021-03-31
p_29607,p_77983,co_1,2021-09-02,2020-11-12
p_29609,p_39150,co_5693,2021-04-13,2020-11-10
p_29610,p_66017,co_429,2019-09-30,2021-02-24
p_29611,p_36128,co_3786,2019-08-01,2020-04-23
p_29611,p_85437,co_1,2021-10-12,2020-03-26
p_29612,p_41268,co_1756,2019-08-05,2020-08-12
p_29613,p_91740,co_2820,2020-11-07,2021-07-03
p_29614,p_79120,co_1,2020-07-22,2022-02-14
p_29614,p_99493,co_4575,2020-05-20,2021-01-04
p_29615,p_40358,co_2,2020-12-28,2021-12-09
p_29615,p_62854,co_5846,2021-04-13,2022-04-05
p_29615,p_96678,co_6240,2022-01-02,2022-05-10
p_29616,p_49772,co_645,2022-04-04,2019-10-07
p_29618,p_33814,co_1,2022-01-21,2022-05-05
p_29618,p_86621,co_653,2020-06-29,2020-11-07
p_29619,p_31415,co_63,2020-04-24,2021-10-14
p_29619,p_38222,co_6702,2022-05-20,2022-02-25
p_29619,p_50618,co_2416,2022-03-19,2021-03-14
p_29620,p_33015,co_3981,2021-04-07,2021-03-01
p_29620,p_44444,co_6214,2021-11-23,2021-11-09
p_29621,p_29639,co_7669,2022-01-28,2021-06-24
p_29622,p_94416,co_695,2021-02-21,2021-10-19
p_29622,p_96617,co_8989,2022-04-30,2021-10-11
p_29624,p_34019,co_3683,2022-04-15,2021-12-27
p_29624,p_35272,co_1,2020-06-01,2019-10-11
p_29624,p_35732,co_4142,2021-10-25,2019-08-15
p_29625,p_78075,co_7990,2021-12-26,2019-10-17
p_29626,p_72105,co_1,2021-09-05,2022-03-27
p_29627,p_60593,co_32,2022-05-16,2020-07-13
p_29627,p_91261,co_3440,2020-08-07,2020-04-20
p_29628,p_53054,co_23,2022-05-07,2021-01-27
p_29628,p_81110,co_5761,2021-10-27,2021-10-10
p_29629,p_45632,co_1,2020-11-24,2020-07-12
p_29629,p_71939,co_9096,2021-09-28,2019-08-04
p_29630,p_33407,co_9097,2019-12-17,2019-08-25
p_29630,p_62146,co_6578,2021-10-19,2021-07-12
p_29630,p_86895,co_971,2021-12-18,2021-12-13
p_29631,p_59322,co_1,2019-12-04,2019-11-03
p_29631,p_95781,co_6,2020-04-15,2020-12-20
p_29632,p_44947,co_9,2021-08-06,2020-01-04
p_29632,p_84837,co_418,2021-12-10,2021-06-24
p_29633,p_36587,co_7185,2020-07-30,2019-10-07
p_29633,p_59296,co_1,2021-06-10,2020-07-18
p_29633,p_69077,co_307,2021-08-09,2019-07-07
p_29634,p_70224,co_8671,2019-11-07,2020-04-14
p_29634,p_93773,co_1822,2019-12-15,2021-02-18
p_29635,p_67067,co_537,2020-03-02,2021-10-28
p_29635,p_82919,co_5331,2022-02-06,2022-06-10
p_29636,p_53510,co_2,2019-08-25,2020-07-12
p_29637,p_78228,co_8752,2022-01-18,2022-06-24
p_29637,p_94525,co_6680,2020-02-04,2020-12-31
p_29638,p_50900,co_3597,2021-01-11,2020-07-24
p_29639,p_29879,co_80,2021-03-25,2021-05-31
p_29640,p_66549,co_2210,2021-09-14,2021-05-30
p_29640,p_77779,co_2674,2020-08-15,2021-12-16
p_29641,p_90635,co_3,2021-01-30,2022-03-10
p_29642,p_31551,co_46,2020-09-03,2022-01-23
p_29642,p_35550,co_2,2020-08-07,2019-12-31
p_29643,p_29729,co_903,2019-10-25,2022-04-07
p_29643,p_32975,co_8050,2020-08-06,2020-03-17
p_29644,p_41640,co_4335,2020-08-20,2020-04-28
p_29644,p_64078,co_443,2021-09-21,2020-11-30
p_29645,p_42255,co_5550,2022-05-12,2021-05-14
p_29645,p_92392,co_5282,2019-08-18,2019-08-16
p_29645,p_96136,co_9314,2019-11-16,2019-08-27
p_29646,p_35700,co_9,2022-02-24,2021-06-10
p_29646,p_60395,co_8765,2022-06-13,2022-04-04
p_29647,p_46144,co_4158,2022-04-20,2020-09-02
p_29647,p_72624,co_494,2019-12-19,2019-09-08
p_29648,p_98190,co_2395,2020-07-20,2021-08-14
p_29649,p_49825,co_6511,2019-09-28,2022-01-24
p_29649,p_68186,co_946,2020-08-18,2021-08-18
p_29649,p_69185,co_6228,2021-05-03,2021-07-17
p_29650,p_69378,co_97,2021-07-31,2019-08-23
p_29650,p_99881,co_1,2019-12-07,2020-06-25
p_29651,p_64114,co_1,2020-10-01,2019-11-30
p_29651,p_92686,co_47,2021-11-01,2019-06-29
p_29652,p_86510,co_1,2021-06-19,2020-07-02
p_29652,p_87455,co_7822,2021-05-08,2020-07-17
p_29653,p_50409,co_6122,2019-07-31,2021-12-13
p_29653,p_78947,co_80,2019-12-29,2020-02-08
p_29654,p_89525,co_29,2020-05-08,2021-10-28
p_29655,p_45073,co_4491,2020-09-05,2020-10-24
p_29655,p_93337,co_72,2022-01-26,2021-07-29
p_29655,p_94796,co_7480,2020-02-28,2022-03-30
p_29656,p_70323,co_1748,2021-10-31,2020-04-07
p_29657,p_33544,co_85,2019-12-23,2021-11-29
p_29657,p_84346,co_3,2021-03-11,2021-03-04
p_29658,p_85477,co_2397,2021-08-12,2021-10-09
p_29659,p_93128,co_2267,2021-02-03,2020-06-04
p_29659,p_99299,co_8053,2019-09-17,2021-03-06
p_29660,p_29997,co_7937,2021-02-18,2021-11-12
p_29660,p_86427,co_4431,2022-03-12,2021-04-01
p_29661,p_31708,co_3525,2020-12-04,2021-04-18
p_29661,p_67788,co_26,2021-04-17,2022-06-25
p_29661,p_70042,co_5749,2020-01-16,2020-02-25
p_29662,p_33748,co_5568,2021-12-09,2022-02-12
p_29663,p_90708,co_587,2019-12-19,2019-11-15
p_29664,p_87545,co_6373,2022-02-26,2021-03-12
p_29665,p_55660,co_6540,2021-05-12,2021-09-04
p_29665,p_63340,co_9454,2022-05-11,2020-07-29
p_29666,p_62493,co_9,2020-04-26,2019-09-29
p_29667,p_33884,co_1500,2021-09-13,2022-06-25
p_29668,p_39072,co_6136,2022-06-22,2020-09-08
p_29668,p_50788,co_8358,2021-11-22,2022-05-24
p_29668,p_94842,co_59,2021-04-01,2021-01-06
p_29669,p_78747,co_9365,2021-11-19,2019-10-26
p_29670,p_37228,co_6,2020-01-28,2021-04-20
p_29670,p_66071,co_5483,2020-03-25,2020-07-24
p_29671,p_89003,co_6,2021-09-05,2022-06-20
p_29672,p_37504,co_8610,2022-02-13,2022-04-11
p_29672,p_92872,co_622,2021-04-28,2019-10-01
p_29672,p_95520,co_4801,2020-01-16,2020-08-07
p_29673,p_59904,co_225,2022-04-16,2020-03-14
p_29673,p_71106,co_4230,2019-11-17,2019-08-14
p_29674,p_83601,co_6207,2020-11-08,2020-02-16
p_29675,p_46601,co_39,2022-06-18,2020-01-31
p_29676,p_33383,co_1,2022-01-24,2021-03-01
p_29676,p_77032,co_2718,2020-07-02,2022-05-16
p_29677,p_56040,co_5916,2019-11-17,2022-01-05
p_29677,p_72231,co_5416,2020-02-01,2021-08-24
p_29678,p_36226,co_3577,2020-08-21,2020-08-30
p_29678,p_44737,co_44,2021-08-12,2021-09-20
p_29679,p_57588,co_82,2020-10-06,2022-01-02
p_29679,p_62114,co_285,2020-11-06,2022-06-09
p_29679,p_82255,co_3497,2020-07-22,2021-06-01
p_29680,p_76893,co_1,2019-10-25,2020-08-27
p_29680,p_86258,co_1,2021-05-17,2020-09-12
p_29681,p_32111,co_1,2022-04-12,2020-03-29
p_29681,p_33736,co_1088,2021-05-21,2021-11-17
p_29681,p_96823,co_1927,2021-03-07,2021-12-26
p_29682,p_31400,co_596,2021-09-20,2020-05-17
p_29682,p_53950,co_7570,2021-03-04,2020-09-12
p_29683,p_51855,co_214,2019-10-22,2022-04-16
p_29683,p_89696,co_1,2021-06-21,2021-01-04
p_29684,p_30762,co_10,2020-03-24,2019-12-19
p_29684,p_50739,co_1,2019-10-02,2022-05-24
p_29685,p_32762,co_1,2020-01-03,2022-02-01
p_29685,p_44761,co_303,2020-06-27,2021-06-28
p_29685,p_82271,co_4799,2019-12-16,2020-11-13
p_29686,p_70166,co_9,2020-12-16,2020-08-09
p_29686,p_99463,co_330,2019-10-17,2019-11-13
p_29687,p_33502,co_8654,2021-10-31,2020-04-05
p_29688,p_94085,co_4979,2021-02-08,2020-03-23
p_29689,p_35110,co_5794,2022-04-29,2022-03-29
p_29689,p_89250,co_6873,2020-05-29,2021-12-15
p_29690,p_70066,co_8466,2022-05-15,2021-03-26
p_29692,p_68782,co_1,2021-01-12,2019-11-16
p_29692,p_83993,co_755,2020-07-23,2022-02-03
p_29693,p_52187,co_1073,2020-09-22,2020-08-04
p_29693,p_53103,co_402,2020-10-26,2020-06-03
p_29693,p_86912,co_1,2020-11-03,2021-05-02
p_29694,p_40074,co_1,2020-07-16,2021-12-28
p_29695,p_54665,co_96,2022-06-24,2020-06-12
p_29695,p_97188,co_9,2021-05-30,2022-03-22
p_29696,p_45910,co_7320,2022-02-25,2021-06-28
p_29698,p_39531,co_2739,2020-06-22,2020-03-28
p_29698,p_72121,co_6014,2020-06-15,2020-01-29
p_29700,p_32754,co_1102,2020-11-27,2020-10-07
p_29701,p_78758,co_926,2022-01-09,2021-05-12
p_29702,p_47836,co_4198,2020-04-20,2019-08-19
p_29702,p_89432,co_448,2020-07-20,2022-05-11
p_29702,p_95208,co_122,2020-11-26,2020-09-24
p_29703,p_32202,co_6616,2019-10-17,2019-11-05
p_29703,p_50375,co_1,2021-09-30,2020-10-07
p_29704,p_37317,co_5,2022-05-21,2021-04-09
p_29705,p_53721,co_954,2019-12-08,2021-12-03
p_29705,p_95162,co_63,2020-04-26,2020-06-03
p_29705,p_96598,co_2287,2021-04-23,2020-07-05
p_29706,p_62438,co_691,2021-07-19,2022-03-31
p_29706,p_83379,co_10,2020-04-10,2021-11-16
p_29707,p_79832,co_8190,2019-12-18,2021-12-01
p_29707,p_91039,co_5,2019-08-10,2020-06-26
p_29708,p_31706,co_2,2021-03-27,2021-05-27
p_29709,p_77667,co_5,2020-07-15,2020-05-09
p_29709,p_98716,co_7055,2022-02-12,2022-05-09
p_29710,p_34122,co_4403,2020-02-19,2021-02-01
p_29710,p_81908,co_676,2019-11-16,2019-11-18
p_29711,p_97089,co_5065,2020-07-22,2022-03-02
p_29712,p_39592,co_5350,2021-09-16,2020-11-08
p_29712,p_70189,co_7335,2020-12-07,2019-07-26
p_29714,p_66956,co_277,2022-01-10,2020-11-30
p_29716,p_99000,co_1,2020-03-24,2022-03-17
p_29717,p_63410,co_10,2020-08-08,2021-12-05
p_29718,p_41223,co_1650,2020-07-14,2019-10-19
p_29718,p_55273,co_5906,2021-07-19,2021-06-03
p_29718,p_72354,co_5795,2020-07-13,2021-03-27
p_29719,p_76872,co_153,2022-05-02,2019-09-30
p_29719,p_89654,co_1,2021-06-24,2022-03-22
p_29720,p_54559,co_9,2019-12-30,2020-11-11
p_29720,p_96645,co_6433,2020-02-10,2020-12-10
p_29721,p_87404,co_3787,2021-05-17,2021-07-29
p_29722,p_33036,co_3517,2020-06-10,2019-08-22
p_29722,p_67857,co_296,2020-09-15,2021-06-23
p_29722,p_92921,co_5884,2020-11-28,2021-12-15
p_29723,p_68312,co_4194,2019-11-16,2021-01-18
p_29723,p_69523,co_1051,2021-09-10,2020-02-01
p_29723,p_78986,co_4238,2021-05-07,2022-05-21
p_29724,p_52313,co_7083,2022-01-07,2020-08-24
p_29724,p_83051,co_10,2020-06-28,2021-08-09
p_29725,p_77854,co_2961,2020-09-03,2022-02-23
p_29725,p_92844,co_56,2020-05-24,2021-06-23
p_29725,p_99330,co_29,2020-03-11,2021-02-03
p_29726,p_35994,co_6292,2022-05-10,2020-08-20
p_29726,p_66806,co_8678,2021-01-14,2021-01-27
p_29726,p_98097,co_1,2020-04-08,2019-12-16
p_29727,p_48976,co_14,2021-03-21,2022-05-08
p_29727,p_55840,co_7,2022-06-16,2019-12-14
p_29728,p_46402,co_7480,2019-07-31,2019-11-13
p_29729,p_57541,co_6955,2019-11-25,2021-01-31
p_29730,p_51720,co_8056,2020-07-18,2021-07-26
p_29730,p_57512,co_3987,2021-05-19,2019-10-26
p_29731,p_52321,co_8,2019-09-25,2021-10-04
p_29731,p_60499,co_1,2019-11-08,2019-12-08
p_29732,p_70302,co_9200,2020-09-08,2020-11-01
p_29732,p_83824,co_5,2022-03-12,2021-12-12
p_29733,p_30189,co_541,2020-07-06,2019-11-06
p_29733,p_86814,co_6704,2019-07-16,2020-08-26
p_29734,p_32288,co_6748,2020-11-21,2022-06-12
p_29734,p_59613,co_3420,2021-07-23,2020-06-25
p_29735,p_76135,co_822,2020-07-25,2020-09-05
p_29736,p_42830,co_4370,2019-12-18,2022-03-01
p_29736,p_82688,co_59,2019-12-02,2020-04-10
p_29737,p_92488,co_2,2020-06-23,2022-04-16
p_29738,p_32736,co_827,2022-02-10,2022-01-19
p_29738,p_60306,co_4857,2022-03-04,2019-06-29
p_29738,p_64843,co_65,2022-05-03,2022-01-04
p_29739,p_40512,co_608,2022-04-29,2020-05-29
p_29739,p_84678,co_582,2021-12-01,2021-11-27
p_29740,p_85557,co_125,2021-07-27,2019-08-01
p_29741,p_36683,co_46,2020-04-02,2020-03-15
p_29742,p_51993,co_1036,2019-07-19,2020-09-15
p_29742,p_54597,co_591,2021-09-17,2019-08-07
p_29743,p_61451,co_9272,2019-10-20,2022-03-18
p_29743,p_75072,co_4333,2019-11-15,2022-01-23
p_29743,p_95300,co_1,2021-02-06,2020-12-04
p_29744,p_72113,co_8125,2021-09-10,2021-03-28
p_29745,p_34105,co_8009,2022-05-01,2019-10-14
p_29745,p_46367,co_1,2021-11-17,2022-03-07
p_29746,p_66792,co_1,2019-12-24,2019-12-25
p_29746,p_67149,co_2,2020-11-08,2019-07-30
p_29746,p_97939,co_5,2021-08-05,2020-01-13
p_29747,p_71471,co_1623,2021-06-10,2021-10-16
p_29747,p_97473,co_1533,2021-05-07,2021-10-24
p_29748,p_48328,co_8262,2020-09-11,2021-04-28
p_29748,p_90575,co_4843,2019-10-25,2021-06-27
p_29749,p_37782,co_2,2022-06-09,2020-08-12
p_29749,p_87025,co_728,2020-10-23,2019-12-18
p_29749,p_94230,co_4027,2020-10-15,2021-07-08
p_29750,p_31822,co_3833,2020-10-21,2021-06-19
p_29751,p_68937,co_39,2021-02-12,2021-09-29
p_29751,p_74716,co_519,2020-02-26,2019-12-20
p_29752,p_79432,co_8763,2022-05-05,2022-02-03
p_29752,p_91464,co_7449,2021-10-10,2021-06-01
p_29753,p_87169,co_6541,2021-12-11,2022-05-31
p_29754,p_47573,co_119,2020-10-25,2021-06-21
p_29754,p_70862,co_1,2020-08-03,2019-09-16
p_29754,p_93932,co_5086,2019-08-25,2020-01-07
p_29755,p_81400,co_9,2020-02-26,2019-11-03
p_29756,p_38315,co_3480,2021-08-11,2020-12-03
p_29756,p_77456,co_8050,2021-11-02,2020-11-14
p_29756,p_94232,co_6875,2021-06-28,2020-08-23
p_29757,p_37223,co_35,2019-11-03,2020-08-25
p_29757,p_46344,co_1246,2019-08-11,2021-09-04
p_29758,p_63595,co_8292,2021-05-11,2020-07-08
p_29758,p_64546,co_6121,2022-05-07,2021-03-02
p_29759,p_46263,co_3,2022-01-15,2020-01-24
p_29759,p_82885,co_4444,2021-08-12,2021-12-23
p_29760,p_39490,co_4453,2020-03-31,2019-10-09
p_29760,p_82364,co_6531,2021-01-18,2019-10-06
p_29760,p_97371,co_921,2020-09-20,2021-11-26
p_29761,p_64105,co_1930,2020-06-11,2021-06-21
p_29762,p_68679,co_1412,2020-11-02,2021-04-28
p_29762,p_75142,co_3980,2019-11-08,2020-09-24
p_29763,p_95970,co_6,2021-10-03,2019-08-16
p_29764,p_73921,co_6078,2022-06-14,2020-04-09
p_29765,p_52453,co_3532,2020-09-14,2019-11-17
p_29765,p_69322,co_247,2022-06-25,2021-01-30
p_29766,p_57704,co_1,2022-01-12,2021-06-13
p_29766,p_91001,co_1413,2020-09-26,2020-04-12
p_29766,p_96158,co_7715,2021-10-19,2020-01-07
p_29768,p_38982,co_1,2020-03-05,2019-11-26
p_29769,p_37116,co_3819,2022-03-23,2020-06-19
p_29769,p_83354,co_7633,2019-11-13,2019-08-17
p_29770,p_29859,co_1706,2020-09-20,2022-03-27
p_29770,p_92813,co_5059,2022-04-24,2021-10-05
p_29771,p_52898,co_6393,2022-03-01,2020-07-04
p_29771,p_90923,co_48,2021-01-27,2020-01-03
p_29771,p_93988,co_5958,2021-01-20,2021-07-12
p_29772,p_52124,co_2553,2019-12-26,2020-02-26
p_29772,p_98997,co_869,2022-06-01,2020-12-16
p_29773,p_72242,co_57,2019-11-13,2019-07-13
p_29774,p_44786,co_5719,2019-09-05,2020-02-12
p_29774,p_46282,co_1275,2021-05-13,2020-04-16
p_29774,p_75162,co_43,2019-11-21,2022-03-19
p_29775,p_42030,co_1,2022-01-17,2021-03-08
p_29775,p_54271,co_1,2021-12-03,2020-12-13
p_29776,p_69051,co_459,2019-12-07,2020-02-04
p_29776,p_83342,co_6,2019-12-27,2021-07-13
p_29777,p_52378,co_1,2022-03-13,2020-05-17
p_29777,p_73140,co_1379,2021-03-25,2020-03-09
p_29778,p_74056,co_635,2020-09-21,2021-08-24
p_29779,p_36773,co_2507,2020-08-26,2020-10-07
p_29780,p_49622,co_5,2021-06-15,2022-06-12
p_29780,p_90101,co_947,2020-01-21,2019-10-17
p_29781,p_60690,co_10,2021-01-18,2020-08-01
p_29781,p_74298,co_3441,2021-12-10,2021-07-26
p_29782,p_41680,co_3065,2021-02-28,2020-08-06
p_29782,p_87961,co_3227,2021-02-27,2021-01-25
p_29783,p_30533,co_8391,2020-03-10,2019-11-17
p_29783,p_91118,co_3013,2019-11-08,2021-11-06
p_29783,p_96125,co_2434,2020-03-20,2019-09-01
p_29784,p_44425,co_9236,2020-05-07,2020-10-26
p_29784,p_63803,co_6601,2020-12-25,2022-03-11
p_29785,p_71482,co_9412,2022-03-28,2021-04-25
p_29785,p_98534,co_5,2022-04-13,2021-06-11
p_29786,p_86061,co_100,2022-02-17,2022-06-23
p_29787,p_42364,co_6179,2020-12-03,2020-06-30
p_29787,p_43139,co_97,2022-04-16,2020-05-12
p_29787,p_80284,co_8585,2021-07-12,2019-08-19
p_29788,p_57244,co_7,2022-05-09,2021-06-08
p_29790,p_31877,co_311,2019-07-12,2019-11-10
p_29790,p_35718,co_8254,2020-02-12,2021-03-10
p_29791,p_97666,co_1,2020-12-07,2021-02-14
p_29792,p_29810,co_6297,2020-10-13,2022-01-23
p_29793,p_42586,co_3,2021-01-13,2020-05-03
p_29793,p_48946,co_39,2021-03-19,2020-09-27
p_29794,p_67966,co_6299,2020-11-08,2022-01-04
p_29795,p_31827,co_482,2020-10-13,2020-09-25
p_29795,p_86006,co_7755,2022-04-07,2021-08-23
p_29795,p_87560,co_46,2020-09-24,2021-02-25
p_29796,p_60453,co_103,2021-08-02,2021-07-04
p_29796,p_67612,co_8185,2019-08-10,2019-09-02
p_29797,p_42320,co_867,2020-10-03,2020-08-26
p_29797,p_63753,co_9406,2021-10-06,2020-09-12
p_29798,p_66706,co_379,2022-06-14,2019-11-24
p_29798,p_70515,co_383,2022-05-07,2021-01-18
p_29798,p_76957,co_2724,2020-02-20,2020-11-26
p_29799,p_49567,co_989,2019-12-15,2022-05-24
p_29799,p_76783,co_524,2020-08-04,2021-07-29
p_29800,p_68810,co_1279,2020-10-12,2020-12-08
p_29801,p_77152,co_6660,2019-12-31,2020-09-14
p_29801,p_87958,co_2476,2020-11-02,2021-08-11
p_29802,p_40087,co_53,2020-07-01,2021-11-17
p_29802,p_44508,co_585,2021-03-26,2020-06-21
p_29803,p_60767,co_158,2021-06-29,2019-11-17
p_29803,p_81572,co_8,2021-12-07,2021-01-17
p_29804,p_52486,co_466,2022-06-22,2021-09-17
p_29804,p_96888,co_7809,2019-06-29,2021-01-07
p_29805,p_40446,co_3481,2019-10-25,2021-10-17
